bit_index,row_id,keep_mask,ambiguous_outputs
4184,65,24,CAP.1|PAR.1
4188,65,28,CAP.1|PAR.1
4192,65,32,CAP.0|D0.0|D1.0|PAR.0
4196,65,36,CAP.3|PAR.3
4200,65,40,CAP.0|PAR.0
4204,65,44,CAP.0|PAR.0
4208,65,48,CAP.0|PAR.0
4212,65,52,CAP.0|PAR.0
4216,65,56,CAP.0|PAR.0
4220,65,60,CAP.0|PAR.0
4224,66,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4225,66,1,D0.5|D1.5|PAR.5
4226,66,2,D0.4|D1.4|PAR.4
4228,66,4,D1.3|PAR.3
4229,66,5,D1.3|PAR.3
4232,66,8,PAR.2|PASS.2|TRI.2
4240,66,16,PAR.1|PASS.1|TRI.1
4248,66,24,PAR.1|PASS.1|TRI.1
4256,66,32,D0.0|PAR.0
4258,66,34,D0.4|PAR.4
4288,67,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4289,67,1,D0.5|D1.5|PAR.5
4290,67,2,D0.4|D1.4|PAR.4
4292,67,4,D1.3|PAR.3
4293,67,5,D1.3|PAR.3
4296,67,8,PAR.2|PASS.2|TRI.2
4304,67,16,PAR.1|PASS.1|TRI.1
4312,67,24,PAR.1|PASS.1|TRI.1
4320,67,32,D0.0|PAR.0
4322,67,34,D0.4|PAR.4
4352,68,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4353,68,1,D0.5|D1.5|PAR.5
4354,68,2,D0.4|D1.4|PAR.4
4356,68,4,CAP.3|PAR.3
4360,68,8,PAR.2|PASS.2|TRI.2
4368,68,16,PAR.1|PASS.1|TRI.1
4376,68,24,PAR.1|PASS.1|TRI.1
4384,68,32,D0.0|PAR.0
4386,68,34,D0.4|PAR.4
4416,69,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4417,69,1,D0.5|D1.5|PAR.5
4418,69,2,D0.4|D1.4|PAR.4
4420,69,4,CAP.3|PAR.3
4424,69,8,CAP.2|D0.2|D1.2|PAR.2
4428,69,12,CAP.2|PAR.2
4432,69,16,PAR.1|PASS.1|TRI.1
4448,69,32,D0.0|D1.0|PAR.0
4450,69,34,D1.4|PAR.4
4480,70,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4481,70,1,CAP.5|PAR.5
4482,70,2,PAR.4|PASS.4|TRI.4
4484,70,4,PAR.3|PASS.3|TRI.3
4486,70,6,PAR.3|PASS.3|TRI.3
4488,70,8,D0.2|PAR.2
4496,70,16,D0.1|D1.1|PAR.1
4512,70,32,D0.0|D1.0|PAR.0
4520,70,40,D0.0|PAR.0
4544,71,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4545,71,1,CAP.5|PAR.5
4546,71,2,CAP.4|D0.4|D1.4|PAR.4
4547,71,3,CAP.4|PAR.4
4548,71,4,PAR.3|PASS.3|TRI.3
4552,71,8,PAR.2|TRI.2
4556,71,12,PAR.2|TRI.2
4560,71,16,CAP.1|PAR.1|TRI.1
4561,71,17,CAP.5|PAR.5
4562,71,18,CAP.1|PAR.1
4563,71,19,CAP.4|PAR.4
4564,71,20,PAR.1|TRI.1
4568,71,24,PAR.1|TRI.1
4572,71,28,PAR.1|TRI.1
4576,71,32,CAP.0|PAR.0|TRI.0
4577,71,33,CAP.5|PAR.5
4578,71,34,CAP.4|PAR.4
4579,71,35,CAP.4|PAR.4
4580,71,36,PAR.0|TRI.0
4584,71,40,PAR.0|TRI.0
4588,71,44,PAR.0|TRI.0
4592,71,48,CAP.0|PAR.0|TRI.0
4593,71,49,CAP.5|PAR.5
4594,71,50,CAP.4|PAR.4
4595,71,51,CAP.4|PAR.4
4596,71,52,PAR.0|TRI.0
4600,71,56,PAR.0|TRI.0
4604,71,60,PAR.0|TRI.0
4608,72,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4609,72,1,CAP.5|PAR.5
4610,72,2,CAP.4|D0.4|D1.4|PAR.4
4611,72,3,CAP.4|PAR.4
4612,72,4,PAR.3|PASS.3|TRI.3
4616,72,8,PAR.2|PASS.2|TRI.2
4620,72,12,PAR.2|PASS.2|TRI.2
4624,72,16,CAP.1|PAR.1|TRI.1
4625,72,17,CAP.5|PAR.5
4626,72,18,CAP.1|PAR.1
4627,72,19,CAP.4|PAR.4
4628,72,20,PAR.1|TRI.1
4632,72,24,PAR.1|TRI.1
4636,72,28,PAR.1|TRI.1
4640,72,32,CAP.0|PAR.0|TRI.0
4641,72,33,CAP.5|PAR.5
4642,72,34,CAP.4|PAR.4
4643,72,35,CAP.4|PAR.4
4644,72,36,PAR.0|TRI.0
4648,72,40,PAR.0|TRI.0
4652,72,44,PAR.0|TRI.0
4656,72,48,CAP.0|PAR.0|TRI.0
4657,72,49,CAP.5|PAR.5
4658,72,50,CAP.4|PAR.4
4659,72,51,CAP.4|PAR.4
4660,72,52,PAR.0|TRI.0
4664,72,56,PAR.0|TRI.0
4668,72,60,PAR.0|TRI.0
4672,73,0,CAP.0|D0.0|D1.0|PAR.0|PASS.0|TRI.0
4673,73,1,CAP.5|PAR.5
4674,73,2,CAP.4|D0.4|D1.4|PAR.4
4675,73,3,CAP.4|PAR.4
4676,73,4,PAR.3|PASS.3|TRI.3
4680,73,8,D0.2|D1.2|PAR.2
4688,73,16,D0.1|D1.1|PAR.1
