bit_index,row_id,keep_mask,output
377,5,57,CAP.5
378,5,58,CAP.0
379,5,59,CAP.4
380,5,60,CAP.0
381,5,61,CAP.5
382,5,62,CAP.0
383,5,63,CAP.1
389,6,5,CAP.3
391,6,7,CAP.3
393,6,9,CAP.2
394,6,10,CAP.2
395,6,11,CAP.2
397,6,13,CAP.2
398,6,14,CAP.2
399,6,15,CAP.2
401,6,17,CAP.5
403,6,19,CAP.4
405,6,21,CAP.5
406,6,22,CAP.1
407,6,23,CAP.1
409,6,25,CAP.5
410,6,26,CAP.1
411,6,27,CAP.1
413,6,29,CAP.5
414,6,30,CAP.1
415,6,31,CAP.1
417,6,33,CAP.5
418,6,34,CAP.4
419,6,35,CAP.4
420,6,36,CAP.0
421,6,37,CAP.3
422,6,38,CAP.3
423,6,39,CAP.3
424,6,40,CAP.0
425,6,41,CAP.5
426,6,42,CAP.2
427,6,43,CAP.2
428,6,44,CAP.0
429,6,45,CAP.5
430,6,46,CAP.2
431,6,47,CAP.2
433,6,49,CAP.5
434,6,50,CAP.4
435,6,51,CAP.4
436,6,52,CAP.0
437,6,53,CAP.5
438,6,54,CAP.0
439,6,55,CAP.3
440,6,56,CAP.0
441,6,57,CAP.5
442,6,58,CAP.0
443,6,59,CAP.4
444,6,60,CAP.0
445,6,61,CAP.5
446,6,62,CAP.0
447,6,63,CAP.4
465,7,17,CAP.5
466,7,18,CAP.1
467,7,19,CAP.4
468,7,20,CAP.1
469,7,21,CAP.3
470,7,22,CAP.1
471,7,23,CAP.3
473,7,25,CAP.5
474,7,26,CAP.1
475,7,27,CAP.4
476,7,28,CAP.1
477,7,29,CAP.5
478,7,30,CAP.1
479,7,31,CAP.1
481,7,33,CAP.5
482,7,34,CAP.4
483,7,35,CAP.4
484,7,36,CAP.0
485,7,37,CAP.3
486,7,38,CAP.3
487,7,39,CAP.3
488,7,40,CAP.0
489,7,41,CAP.5
490,7,42,CAP.0
491,7,43,CAP.4
492,7,44,CAP.0
493,7,45,CAP.5
494,7,46,CAP.0
495,7,47,CAP.2
497,7,49,CAP.5
498,7,50,CAP.4
499,7,51,CAP.4
500,7,52,CAP.0
501,7,53,CAP.3
502,7,54,CAP.0
503,7,55,CAP.3
504,7,56,CAP.0
505,7,57,CAP.5
506,7,58,CAP.0
507,7,59,CAP.4
508,7,60,CAP.0
509,7,61,CAP.5
510,7,62,CAP.0
511,7,63,CAP.5
517,8,5,CAP.3
518,8,6,CAP.3
519,8,7,CAP.3
522,8,10,CAP.2
523,8,11,CAP.2
525,8,13,CAP.2
526,8,14,CAP.2
527,8,15,CAP.2
530,8,18,CAP.4
531,8,19,CAP.4
532,8,20,CAP.1
533,8,21,CAP.3
534,8,22,CAP.1
535,8,23,CAP.3
537,8,25,CAP.5
538,8,26,CAP.1
539,8,27,CAP.4
540,8,28,CAP.1
541,8,29,CAP.5
542,8,30,CAP.1
543,8,31,CAP.1
546,8,34,CAP.4
547,8,35,CAP.4
548,8,36,CAP.0
549,8,37,CAP.3
550,8,38,CAP.3
551,8,39,CAP.3
552,8,40,CAP.0
553,8,41,CAP.5
554,8,42,CAP.0
555,8,43,CAP.4
556,8,44,CAP.0
557,8,45,CAP.5
558,8,46,CAP.0
559,8,47,CAP.2
562,8,50,CAP.4
563,8,51,CAP.4
564,8,52,CAP.0
565,8,53,CAP.3
566,8,54,CAP.3
567,8,55,CAP.3
568,8,56,CAP.0
569,8,57,CAP.5
570,8,58,CAP.0
571,8,59,CAP.4
572,8,60,CAP.0
573,8,61,CAP.5
574,8,62,CAP.0
575,8,63,CAP.5
579,9,3,D0.4
581,9,5,D0.3
583,9,7,D0.3
584,9,8,D0.2
585,9,9,D0.5
586,9,10,D0.2
587,9,11,D0.2
588,9,12,D0.2
589,9,13,D0.2
590,9,14,D0.2
591,9,15,D0.2
593,9,17,D0.5
595,9,19,D0.4
597,9,21,D0.1
599,9,23,D0.1
600,9,24,D0.1
601,9,25,D0.5
602,9,26,D0.1
603,9,27,D0.4
604,9,28,D0.1
605,9,29,D0.1
606,9,30,D0.1
607,9,31,D0.1
611,9,35,D0.4
613,9,37,D0.3
615,9,39,D0.3
616,9,40,D0.0
617,9,41,D0.5
618,9,42,D0.4
619,9,43,D0.4
620,9,44,D0.0
621,9,45,D0.2
622,9,46,D0.2
623,9,47,D0.2
625,9,49,D0.5
627,9,51,D0.4
629,9,53,D0.5
631,9,55,D0.3
632,9,56,D0.0
633,9,57,D0.5
634,9,58,D0.4
635,9,59,D0.4
636,9,60,D0.0
637,9,61,D0.5
638,9,62,D0.0
639,9,63,D0.3
643,10,3,D0.4
645,10,5,D0.3
647,10,7,D0.3
648,10,8,D0.2
649,10,9,D0.5
650,10,10,D0.2
651,10,11,D0.2
652,10,12,D0.2
653,10,13,D0.2
