token_index,batch,time_a,time_b,pair,mixed_with_wall,events
987,3382,82978218757353187908124978835418373/22670724999497237044932546372997,78019406935800035612869869983575755/45341449998994474089865092745994,P0/P2,false,pair:P0:P2:SW
988,3391,607576895674467924155022445959308687/165995943204256865130224540208911,576301981487402161411443374991742433/331991886408513730260449080417822,P1/P2,false,pair:P1:P2:N
989,3395,586155484751647118999161341708824787/160065349901847300411068034446419,557236277708982876803966869844456669/320130699803694600822136068892838,P0/P2,false,pair:P0:P2:N
990,3397,46437753540777565640139125840430749/12705346130548893332828636748573,498871757409246323402992848292331/285513396192109962535474983114,P0/P1,false,pair:P0:P1:NE
991,3400,5518827198159257214356640267372051/1503975216050581281129437374867,5237239342696213396821416558105501/3007950432101162562258874749734,P0/P1,false,pair:P0:P1:NE
992,3406,537853890036150922512956723528803265/146349390888225809460657579672129,511551257316396741695374424810565071/292698781776451618921315159344258,P0/P2,false,pair:P0:P2:W
993,3417,612931451809831965146944520298816911/165995943204256865130224540208911,581332019069107775676582293310674401/331991886408513730260449080417822,P1/P2,false,pair:P1:P2:W
994,3419,140259312820676627157620287479755381/37958169467036220454795271389941,133009830303254884032612272281299035/75916338934072440909590542779882,P0/P2,false,pair:P0:P2:N
995,3422,5559392017366560555204534769944083/1503975216050581281129437374867,5275268860703060278866317654266781/3007950432101162562258874749734,P1/P2,false,pair:P1:P2:SW
996,3425,46843401732850599048618070866151069/12705346130548893332828636748573,134334574166073261892340136566069273/76232076783293359996971820491438,P1/P2,false,pair:P1:P2:SW
997,3427,114896582285633505428799792406437691/31094463607903472326557847553723,109364165736485232941173958793259253/62188927215806944653115695107446,P0/P2,false,pair:P0:P2:NW
998,3430,258347307274591189839291130099556559/69741529377019663137940548217423,244850626921916411372879009509617313/139483058754039326275881096434846,P1/P2,false,pair:P1:P2:SW
999,3435,83554354727952464253459385753912321/22580955131206909318281871557249,26532437002478946656381353892958341/15053970087471272878854581038166,P0/P2,false,pair:P0:P2:W
1000,3437,44845549814247760161826113124777049/12118242050546363425676310083289,42774049939608442603264134107292343/24236484101092726851352620166578,P0/P2,false,pair:P0:P2:NW
1001,3438,378204223352230754814624904940534609/101898121873341313020664586371537,358131145523064274558649130756482879/203796243746682626041329172743074,P1/P2,false,pair:P1:P2:SW
1002,3443,176218507739511845135259118041301907/47426125001287087191293376751379,167041197029204961664829517008121373/94852250002574174382586753502758,P1/P2,false,pair:P1:P2:SW
1003,3446,156611904042965369418516341277809867/42137737578947637261198157278283,148522087679346477855752451719961701/84275475157895274522396314556566,P0/P1,false,pair:P0:P1:SW
