bit_index,row_id,keep_mask,output
2086,32,38,H.3
2087,32,39,H.3
2088,32,40,H.0
2089,32,41,H.5
2090,32,42,H.4
2091,32,43,H.4
2092,32,44,H.0
2093,32,45,H.2
2094,32,46,H.2
2095,32,47,H.2
2096,32,48,H.0
2097,32,49,H.5
2098,32,50,H.4
2099,32,51,H.4
2100,32,52,H.0
2101,32,53,H.3
2102,32,54,H.3
2103,32,55,H.3
2104,32,56,H.0
2105,32,57,H.5
2106,32,58,H.4
2107,32,59,H.4
2108,32,60,H.0
2109,32,61,H.5
2110,32,62,H.0
2111,32,63,H.2
2115,33,3,H.4
2118,33,6,H.3
2119,33,7,H.3
2121,33,9,H.5
2122,33,10,H.2
2123,33,11,H.2
2124,33,12,H.2
2125,33,13,H.2
2126,33,14,H.2
2127,33,15,H.2
2128,33,16,H.1
2129,33,17,H.5
2130,33,18,H.4
2131,33,19,H.4
2132,33,20,H.1
2133,33,21,H.3
2134,33,22,H.1
2135,33,23,H.3
2136,33,24,H.1
2137,33,25,H.5
2138,33,26,H.1
2139,33,27,H.1
2140,33,28,H.1
2141,33,29,H.5
2142,33,30,H.1
2143,33,31,H.1
2145,33,33,H.5
2147,33,35,H.4
2148,33,36,H.3
2149,33,37,H.3
2150,33,38,H.3
2151,33,39,H.3
2152,33,40,H.0
2153,33,41,H.5
2154,33,42,H.2
2155,33,43,H.2
2156,33,44,H.0
2157,33,45,H.2
2158,33,46,H.2
2159,33,47,H.2
2160,33,48,H.0
2161,33,49,H.5
2162,33,50,H.4
2163,33,51,H.4
2164,33,52,H.0
2165,33,53,H.3
2166,33,54,H.3
2167,33,55,H.3
2168,33,56,H.0
2169,33,57,H.5
2170,33,58,H.0
2171,33,59,H.4
2172,33,60,H.0
2173,33,61,H.5
2174,33,62,H.0
2175,33,63,H.2
2178,34,2,H.4
2179,34,3,H.4
2180,34,4,H.3
2181,34,5,H.3
2182,34,6,H.3
2183,34,7,H.3
2185,34,9,H.5
2186,34,10,H.2
2187,34,11,H.2
2188,34,12,H.2
2189,34,13,H.2
2190,34,14,H.2
2191,34,15,H.2
2194,34,18,H.1
2195,34,19,H.4
2196,34,20,H.1
2198,34,22,H.1
2199,34,23,H.1
2200,34,24,H.1
2201,34,25,H.5
2202,34,26,H.1
2203,34,27,H.4
2204,34,28,H.1
2205,34,29,H.5
2206,34,30,H.1
2207,34,31,H.1
2209,34,33,H.5
2210,34,34,H.4
2211,34,35,H.4
2212,34,36,H.0
2213,34,37,H.3
2214,34,38,H.3
2215,34,39,H.3
2217,34,41,H.5
2218,34,42,H.0
2219,34,43,H.2
2220,34,44,H.0
2221,34,45,H.5
2222,34,46,H.0
2223,34,47,H.2
2224,34,48,H.0
2225,34,49,H.5
2226,34,50,H.4
2227,34,51,H.4
2228,34,52,H.0
2229,34,53,H.5
