# REPHEX current computed pattern
# axiom=F level=5 cells=15841
# source=F: F@e; F -> F + {B_i@g_i : i=0..5}
# q r state orientation colour_index dark_cap leaf_tag
73 -71 0 3 0 0 N
74 -71 1 3 0 0 N
75 -71 C 3 1 1 N
76 -71 0 4 0 0 N
77 -71 B 3 7 0 N
78 -71 0 3 0 0 N
79 -71 1 3 0 0 N
80 -71 C 3 1 1 N
-9 -70 G 0 4 0 U
-8 -70 0 1 0 0 N
-7 -70 G 0 5 0 U
-6 -70 0 2 0 0 N
-5 -70 G 4 2 0 P
-4 -70 G 0 3 0 P
-3 -70 1 5 0 0 N
-2 -70 G 4 4 0 T
-1 -70 G 0 9 0 T
0 -70 0 1 1 0 N
1 -70 G 2 4 0 P
2 -70 G 5 2 0 P
3 -70 G 4 3 0 P
4 -70 G 0 4 0 P
5 -70 0 1 0 0 N
6 -70 G 0 5 0 P
7 -70 0 2 0 0 N
8 -70 G 4 2 0 P
9 -70 G 0 3 0 P
10 -70 1 5 0 0 N
11 -70 G 4 4 0 T
12 -70 G 0 4 0 T
13 -70 0 1 0 0 N
14 -70 G 0 10 0 T
15 -70 0 2 1 0 N
16 -70 B 4 5 0 N
17 -70 G 2 5 0 P
18 -70 G 5 2 0 P
19 -70 G 4 3 0 P
20 -70 G 0 3 0 P
21 -70 1 4 0 0 N
22 -70 G 2 10 0 U
23 -70 G 5 2 0 U
24 -70 G 4 3 0 U
59 -70 G 0 4 0 U
60 -70 0 1 0 0 N
61 -70 G 0 5 0 U
62 -70 0 2 0 0 N
63 -70 G 4 2 0 P
64 -70 G 0 3 0 P
65 -70 1 5 0 0 N
66 -70 G 4 4 0 T
67 -70 G 0 4 0 T
68 -70 0 1 0 0 N
69 -70 G 0 10 0 T
70 -70 0 2 1 0 N
71 -70 B 4 5 0 N
72 -70 G 2 5 0 P
73 -70 G 5 2 0 P
74 -70 G 4 3 0 P
75 -70 G 0 3 0 P
76 -70 1 4 0 0 N
77 -70 G 2 10 0 U
78 -70 G 5 2 0 U
79 -70 G 4 3 0 U
-11 -69 G 1 3 0 U
-10 -69 G 2 2 0 U
-9 -69 G 5 5 0 U
-8 -69 B 1 6 0 N
-7 -69 B 2 5 0 N
