bit_index,row_id,keep_mask,ambiguous_outputs
1168,18,16,D0.1|D1.1|PASS.1
1169,18,17,D0.5|D1.5
1170,18,18,D0.1|D1.1
1171,18,19,D0.4|D1.4
1176,18,24,D0.1|D1.1
1177,18,25,D0.5|D1.5
1178,18,26,D0.1|D1.1
1179,18,27,D0.4|D1.4
1216,19,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1217,19,1,D0.5|D1.5
1220,19,4,D0.3|D1.3|LEAF.3
1221,19,5,D0.3|D1.3
1224,19,8,D0.2|D1.2|LEAF.2
1225,19,9,D0.5|D1.5
1228,19,12,D0.2|D1.2
1229,19,13,D0.2|D1.2
1248,19,32,D0.0|D1.0
1249,19,33,D0.5|D1.5
1252,19,36,D0.0|D1.0
1253,19,37,D0.3|D1.3
1256,19,40,D0.0|D1.0
1257,19,41,D0.5|D1.5
1260,19,44,D0.0|D1.0
1261,19,45,D0.5|D1.5
1280,20,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1281,20,1,D0.5|D1.5
1284,20,4,D0.3|D1.3|LEAF.3
1285,20,5,D0.3|D1.3
1288,20,8,D0.2|D1.2|LEAF.2
1289,20,9,D0.5|D1.5
1292,20,12,D0.2|D1.2
1293,20,13,D0.2|D1.2
1312,20,32,D0.0|D1.0
1313,20,33,D0.5|D1.5
1316,20,36,D0.0|D1.0
1317,20,37,D0.3|D1.3
1320,20,40,D0.0|D1.0
1321,20,41,D0.5|D1.5
1324,20,44,D0.0|D1.0
1325,20,45,D0.5|D1.5
1344,21,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1345,21,1,D1.5|LEAF.5
1346,21,2,D0.4|D1.4|LEAF.4
1348,21,4,D0.3|D1.3|PASS.3
1350,21,6,D0.3|D1.3
1360,21,16,D0.1|D1.1|LEAF.1
1361,21,17,D1.5|LEAF.5
1362,21,18,D0.4|D1.4
1364,21,20,D0.1|D1.1
1366,21,22,D0.1|D1.1
1376,21,32,D0.0|D1.0|LEAF.0
1378,21,34,D1.4|LEAF.4
1392,21,48,D0.0|D1.0
1408,22,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1409,22,1,D1.5|LEAF.5
1410,22,2,D0.4|D1.4|LEAF.4
1412,22,4,D0.3|D1.3|PASS.3
1414,22,6,D0.3|D1.3
1424,22,16,D0.1|D1.1|LEAF.1
1425,22,17,D1.5|LEAF.5
1426,22,18,D0.4|D1.4
1428,22,20,D0.1|D1.1
1430,22,22,D0.1|D1.1
1440,22,32,D0.0|D1.0|LEAF.0
1442,22,34,D0.4|D1.4|LEAF.4
1444,22,36,D0.3|D1.3
1446,22,38,D0.3|D1.3
1456,22,48,D0.0|D1.0
1458,22,50,D0.4|D1.4
1460,22,52,D0.0|D1.0
1462,22,54,D0.0|D1.0
1472,23,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1474,23,2,D0.4|D1.4|LEAF.4
1476,23,4,D0.3|D1.3|PASS.3
1478,23,6,D0.3|D1.3
1488,23,16,D0.1|D1.1
1490,23,18,D0.1|D1.1
1492,23,20,D0.1|D1.1
1494,23,22,D0.1|D1.1
1504,23,32,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1506,23,34,D0.4|D1.4
1508,23,36,D0.3|D1.3
1510,23,38,D0.3|D1.3
1520,23,48,D0.0|D1.0
1522,23,50,D0.4|D1.4
1524,23,52,D0.0|D1.0
1526,23,54,D0.0|D1.0
1536,24,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1537,24,1,D0.5|D1.5|LEAF.5
1538,24,2,D0.4|D1.4|LEAF.4
1539,24,3,D0.4|D1.4
1540,24,4,D1.3|LEAF.3
1541,24,5,D1.3|LEAF.3
1544,24,8,D0.2|D1.2|LEAF.2
1545,24,9,D0.5|D1.5
1546,24,10,D1.2|LEAF.2
1552,24,16,D0.1|D1.1|PASS.1
1553,24,17,D0.5|D1.5
1560,24,24,D0.1|D1.1
1561,24,25,D0.5|D1.5
1600,25,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1601,25,1,D0.5|D1.5|LEAF.5
1602,25,2,D0.4|D1.4|LEAF.4
1603,25,3,D0.4|D1.4
1608,25,8,D0.2|D1.2
1609,25,9,D0.2|D1.2
1610,25,10,D0.2|D1.2
1611,25,11,D0.2|D1.2
1616,25,16,D0.1|D1.1
1617,25,17,D0.5|D1.5
1618,25,18,D0.1|D1.1
1619,25,19,D0.4|D1.4
1624,25,24,D0.1|D1.1
1625,25,25,D0.5|D1.5
1626,25,26,D0.1|D1.1
1627,25,27,D0.1|D1.1
1664,26,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1665,26,1,D0.5|D1.5|LEAF.5
1666,26,2,D0.4|D1.4|LEAF.4
1667,26,3,D0.4|D1.4
1668,26,4,D1.3|LEAF.3
1669,26,5,D1.3|LEAF.3
1672,26,8,D0.2|D1.2|LEAF.2
1673,26,9,D0.5|D1.5
1674,26,10,D0.2|D1.2|LEAF.2
1675,26,11,D0.2|D1.2
1680,26,16,D0.1|D1.1|PASS.1
1681,26,17,D0.5|D1.5
1682,26,18,D0.1|D1.1
1683,26,19,D0.4|D1.4
1688,26,24,D0.1|D1.1
1689,26,25,D0.5|D1.5
1690,26,26,D0.1|D1.1
1691,26,27,D0.4|D1.4
1728,27,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1729,27,1,D0.5|D1.5|LEAF.5
1730,27,2,D0.4|D1.4|LEAF.4
1731,27,3,D0.4|D1.4
1736,27,8,D0.2|D1.2|LEAF.2
1737,27,9,D0.5|D1.5
1738,27,10,D0.2|D1.2|LEAF.2
1739,27,11,D0.2|D1.2
1744,27,16,D0.1|D1.1|PASS.1
1745,27,17,D0.5|D1.5
1746,27,18,D0.1|D1.1
1747,27,19,D0.4|D1.4
1752,27,24,D0.1|D1.1
1753,27,25,D0.5|D1.5
1754,27,26,D0.1|D1.1
1755,27,27,D0.4|D1.4
1792,28,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1793,28,1,D0.5|D1.5|LEAF.5
1794,28,2,D0.4|D1.4|LEAF.4
1795,28,3,D0.4|D1.4
1800,28,8,D0.2|D1.2
1801,28,9,D0.2|D1.2
1802,28,10,D0.2|D1.2
1803,28,11,D0.2|D1.2
1808,28,16,D0.1|D1.1
1809,28,17,D0.5|D1.5
1810,28,18,D0.1|D1.1
1811,28,19,D0.4|D1.4
1816,28,24,D0.1|D1.1
1817,28,25,D0.5|D1.5
1818,28,26,D0.1|D1.1
1819,28,27,D0.1|D1.1
1856,29,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1857,29,1,D0.5|D1.5|PASS.5
1860,29,4,D0.3|D1.3|LEAF.3
1861,29,5,D0.3|D1.3
1864,29,8,D0.2|D1.2|LEAF.2
1868,29,12,D0.2|D1.2
1872,29,16,D1.1|LEAF.1
1876,29,20,D1.1|LEAF.1
1888,29,32,D0.0|D1.0|LEAF.0
1889,29,33,D0.5|D1.5
1892,29,36,D0.3|D1.3
1893,29,37,D0.3|D1.3
1896,29,40,D1.0|LEAF.0
1920,30,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1921,30,1,D0.5|D1.5|PASS.5
1924,30,4,D0.3|D1.3|LEAF.3
1925,30,5,D0.3|D1.3
1928,30,8,D0.2|D1.2|LEAF.2
1929,30,9,D0.2|D1.2
1932,30,12,D0.2|D1.2
1933,30,13,D0.2|D1.2
1936,30,16,D1.1|LEAF.1
1940,30,20,D1.1|LEAF.1
1952,30,32,D0.0|D1.0|LEAF.0
1953,30,33,D0.5|D1.5
1956,30,36,D0.3|D1.3
1957,30,37,D0.3|D1.3
1960,30,40,D0.0|D1.0|LEAF.0
1961,30,41,D0.5|D1.5
1964,30,44,D0.0|D1.0
1965,30,45,D0.2|D1.2
1984,31,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
1985,31,1,D0.5|D1.5|PASS.5
1988,31,4,D0.3|D1.3|LEAF.3
1989,31,5,D0.3|D1.3
1992,31,8,D0.2|D1.2|LEAF.2
1993,31,9,D0.2|D1.2
1996,31,12,D0.2|D1.2
1997,31,13,D0.2|D1.2
2016,31,32,D0.0|D1.0|LEAF.0
2017,31,33,D0.5|D1.5
2020,31,36,D0.3|D1.3
2021,31,37,D0.3|D1.3
2024,31,40,D0.0|D1.0|LEAF.0
2025,31,41,D0.5|D1.5
2028,31,44,D0.0|D1.0
2029,31,45,D0.2|D1.2
2048,32,0,CAP.0|D0.0|D1.0|LEAF.0|PASS.0
2049,32,1,D0.5|D1.5|PASS.5
2052,32,4,D0.3|D1.3
2053,32,5,D0.3|D1.3
2056,32,8,CAP.2|D0.2|D1.2|LEAF.2|PASS.2
2057,32,9,D0.5|D1.5
2060,32,12,D0.2|D1.2
2061,32,13,D0.2|D1.2
