batch_index,time_a,time_b,pair_a,pair_b,face_a,mixed_with_wall,batch_events
1024,221247449240827/214786035818,6631592919297231/13316734220716,I1,O0,SE,false,pair:I1:O0:SE
1028,15929084482723061/15338381097398,15282499446630015/30676762194796,I2,O0,N,false,pair:I2:O0:N
1033,5812892024459127/5533294152434,5526159413700165/11066588304868,I0,I3,W,false,pair:I0:I3:W
1037,4007565719682253/3860684614918,3972500520683783/7721369229836,I0,I2,SW,false,pair:I0:I2:SW
1039,1509034080615353/1426635315374,7210510098689143/14266353153740,I3,O0,SW,false,pair:I3:O0:SW
1041,6385879421928321/6026107767326,6075024336897955/12052215534652,I3,O0,SW,false,pair:I3:O0:SW
1046,8652285240448297/8098946753486,8186346731743643/16197893506972,I2,O0,NW,false,pair:I2:O0:NW
1047,12512029470211111/11719779511186,11875678572398677/23439559022372,I0,I2,W,false,pair:I0:I2:W
1048,2162594051381497/2028885359662,2063773940505611/4057770719324,I0,I3,E,false,pair:I0:I3:E
1052,13228414697367671/12497229141234,12960759907423045/24994458282468,I1,I2,W,false,pair:I1:I2:W
1053,3636076237204019/3402302416634,3483548594250489/6804604833268,I1,I3,E,false,pair:I1:I3:E
1055,348736365857441/323384490718,327327937382275/646768981436,I1,I2,SW,false,pair:I1:I2:SW
1056,17316698509233181/16059683072102,16297217515512055/32119366144204,I0,I1,S,false,pair:I0:I1:S
1061,273022704850783/253613470114,1307452160134449/2536134701140,I3,O0,NE,false,pair:I3:O0:NE
1067,13447431881452523/12425093681290,38664655674572899/74550562087740,I1,I2,SE,false,pair:I1:I2:SE
1070,63215944718259941/58222036812758,8674271218389369/16634867660788,I2,O0,N,false,pair:I2:O0:N
1072,97768842238103641/89706983535470,93445481992550699/179413967070940,I3,O0,SE,false,pair:I3:O0:SE
1074,170584560044084083/156406247004794,163163289019207609/312812494009588,I1,I3,S,false,pair:I1:I3:S
1077,36192527252927103/32998651886050,103023637459658519/197991911316300,I0,I3,NW,false,pair:I0:I3:NW
1079,36075165347520713/32957090287758,2115844290141505/4035562076052,I0,O0,SE,false,pair:I0:O0:SE
1084,235124813119782761/213816538351438,225554740392441947/427633076702876,I1,I3,N,false,pair:I1:I3:N
1087,34547771433797857/31212273654622,164366892946410191/312122736546220,I0,O0,SW,false,pair:I0:O0:SW
1088,114443640186813225/103427277146062,326982681808325329/620563662876372,I3,O0,E,false,pair:I3:O0:E
1094,4591160614634081/4117016368222,4356128898378307/8234032736444,I2,I3,W,false,pair:I2:I3:W
1095,345723457862480251/310281831438186,328953006645299921/620563662876372,I2,O0,E,false,pair:I2:O0:E
1096,125347748360044363/112665045763530,23971763904628237/45066018305412,I2,I3,W,false,pair:I2:I3:W
1097,113554984399939435/101957102721418,108460635194981025/203914205442836,I1,I3,E,false,pair:I1:I3:E
1105,86820428651621831/77070265816146,82639603646379317/154140531632292,I2,O0,NW,false,pair:I2:O0:NW
1109,172657033554997925/153004836832342,164875541706777999/306009673664684,I3,O0,SE,false,pair:I3:O0:SE
1110,129958073500584217/115042006981102,124026623079406443/230084013962204,I0,I1,E,false,pair:I0:I1:E
1113,51285915716602771/45327332507194,48994868137088025/90654665014388,I0,I3,SW,false,pair:I0:I3:SW
1117,34982304193247401/30957299285198,33669638762286107/61914598570396,I1,O0,SW,false,pair:I1:O0:SW
1121,24023395522048807/20989871818130,22730188835576149/41979743636260,I0,I2,S,false,pair:I0:I2:S
1122,71937506843700419/63053662130650,68732928828935593/126107324261300,I2,I3,SW,false,pair:I2:I3:SW
1124,12133263461621803/10599184191498,11532663938708705/21198368382996,I2,O0,E,false,pair:I2:O0:E
1127,152941429722844509/133623153237478,146194541026796727/267246306474956,I3,O0,NE,false,pair:I3:O0:NE
1131,19017807412978739/16561444049146,18202451167930873/33122888098292,I0,I2,SW,false,pair:I0:I2:SW
1132,160925050594083881/139871088154062,153549154652069531/279742176308124,I3,O0,NE,false,pair:I3:O0:NE
1135,44322931503204683/38487221371338,42507690735031361/76974442742676,I1,O0,SW,false,pair:I1:O0:SW
1136,313386984532364629/272284133283062,300998043278351263/544568266566124,I0,O0,E,false,pair:I0:O0:E
1138,330383874097878171/286207470769450,63090924245076797/114482988307780,I1,O0,SW,false,pair:I1:O0:SW
1139,151768299483672317/130837620256422,143228971900698007/261675240512844,I0,I2,S,false,pair:I0:I2:S
1143,783121835948100327/675071708200466,748883273201311893/1350143416400932,I0,I1,E,false,pair:I0:I1:E
1149,361729623262177719/309934995401330,346178375933667077/619869990802660,I0,I1,SE,false,pair:I0:I1:SE
1152,66192581033749417/56585617159886,63248003824944411/113171234319772,I1,I3,S,false,pair:I1:I3:S
1154,170437967444855017/145553126433870,488324236403682961/873318758603220,I0,I1,S,false,pair:I0:I1:S
1155,221868321409138457/189405340347886,212329695108431211/378810680695772,I1,O0,SW,false,pair:I1:O0:SW
1159,116318447445995239/98753675834898,110889377428589717/197507351669796,I1,I3,S,false,pair:I1:I3:S
1161,346672296174912799/293817896945826,109790060538709183/195878597963884,I1,I2,N,false,pair:I1:I2:N
1163,22098569967020493/18671025435398,2982229388570625/5334578695828,I1,I3,SW,false,pair:I1:I3:SW
1166,507803756709034517/430408378635126,485352656146348511/860816757270252,I1,I3,W,false,pair:I1:I3:W
1167,477878699292183393/404207176853086,455588086847042371/808414353706172,I3,O0,SW,false,pair:I3:O0:SW
1168,21453094487353153/18171802246814,20568330179709155/36343604493628,I2,I3,SE,false,pair:I2:I3:SE
1171,30057681173558065/25326868000958,28627957504068787/50653736001916,I0,I2,SE,false,pair:I0:I2:SE
1176,495061756549688953/415691369650990,470305268507957131/831382739301980,I2,O0,SE,false,pair:I2:O0:SE
1178,42080643798176615/35416505109778,40356478339080725/70833010219556,I0,I3,SE,false,pair:I0:I3:SE
1180,377110093294846271/316145332106338,359740504528815773/632290664212676,I2,I3,NE,false,pair:I2:I3:NE
1182,52636102812353809/44030922373374,16725196990932849/29353948248916,I0,I2,SW,false,pair:I0:I2:SW
1189,78551766565664013/65724748141702,76098532978553287/131449496283404,I0,I2,W,false,pair:I0:I2:W
1190,24365735535945803/20173930066890,13801588974354215/24208716080268,I1,I3,NE,false,pair:I1:I3:NE
1193,3225493586648107/2655491902474,15167970125060709/26554919024740,I0,I3,NW,false,pair:I0:I3:NW
1195,210814787515373209/174291688394478,201381250060837867/348583376788956,I2,I3,E,false,pair:I2:I3:E
1200,601804553882175143/496698464312978,576896691396123605/993396928625956,I0,I3,SW,false,pair:I0:I3:SW
1204,810599990047918489/666296879483118,777757036937911531/1332593758966236,I2,I3,E,false,pair:I2:I3:E
1209,180174978851428725/148115087524022,174134191274447871/296230175048044,I2,I3,E,false,pair:I2:I3:E
1211,1100374687216122269/899440911428966,1054733045553308023/1798881822857932,I3,O0,E,false,pair:I3:O0:E
1213,878877575328797295/716503758833666,838426401121271853/1433007517667332,I2,I3,NE,false,pair:I2:I3:NE
1214,541011229705698645/439391496525046,513022410875681695/878782993050092,I1,I2,NE,false,pair:I1:I2:NE
1215,582551765472297773/473362249276486,553390207871221799/946724498552972,I0,I3,SW,false,pair:I0:I3:SW
1220,114754080943205089/92959564750686,109187283515563459/185919129501372,I0,O0,S,false,pair:I0:O0:S
1224,1203641695575304461/973621065919622,1147710022097554887/1947242131839244,I2,I3,W,false,pair:I2:I3:W
1228,1280767672117163231/1024292548542754,1199841108463363453/2048585097085508,I0,I3,SW,false,pair:I0:I3:SW
1229,1797754178873698675/1444737834581626,131396693816445277/222267359166404,I1,I2,N,false,pair:I1:I2:N
1233,291641098632497679/232889562025154,274288756689644301/465779124050308,I0,I1,NE,false,pair:I0:I1:NE
1235,2600103884791242673/2084833534556094,353850575915807093/595666724158884,I0,I3,S,false,pair:I0:I3:S
1236,1577359246304019737/1263237298708974,1500385809907191659/2526474597417948,I3,O0,SW,false,pair:I3:O0:SW
1238,47142520111709233/37740041670334,1934457073727992593/3245643583648724,I0,I2,NW,false,pair:I0:I2:NW
1240,4946004227893790667/3957566442759370,4723224341848643521/7915132885518740,I0,I2,W,false,pair:I0:I2:W
1245,3360172243294063805/2670583716186918,3211636106220003031/5341167432373836,I0,I2,SW,false,pair:I0:I2:SW
1248,1896330521630552741/1499083352925270,85538816768082963/142769843135740,I3,O0,SW,false,pair:I3:O0:SW
1252,4112272946687384875/3250376573961738,1307169735152525643/2166917715974492,I0,O0,SE,false,pair:I0:O0:SE
1256,636917892538936003/501356035249626,1825318112721368827/3008136211497756,I1,I3,N,false,pair:I1:I3:N
1258,1304763409960733161/1022406491669070,1234000302248830939/2044812983338140,I1,I3,N,false,pair:I1:I3:N
1261,220084497845873563/172861052331818,210914453878074673/345722104663636,I0,I3,SE,false,pair:I0:I3:SE
1263,10344748665476200415/8111677259995938,210543287846053139/345177755744508,I0,I2,NE,false,pair:I0:I2:NE
1266,6847860134818728187/5350814154831978,2176806811958868763/3567209436554652,I2,I3,S,false,pair:I2:I3:S
1267,6270676444291473377/4899136027143518,5988930578879344835/9798272054287036,I0,I1,SE,false,pair:I0:I1:SE
1273,8572512076954592443/6681492667709674,8214982886467533969/13362985335419348,I2,O0,NE,false,pair:I2:O0:NE
1274,10371089500521397985/8059418342477662,9888469860418530755/16118836684955324,I1,I3,W,false,pair:I1:I3:W
1275,500005385599594099/388983960675450,478560902770434233/777967921350900,I0,I3,E,false,pair:I0:I3:E
1276,24662390701486047333/19127462980731094,23441684727684855503/38254925961462188,I1,I2,N,false,pair:I1:I2:N
1281,903173583040373579/700725990219210,867923107721558593/1401451980438420,I0,I3,SE,false,pair:I0:I3:SE
1285,17577180122185642145/13501218935366622,1839245779682364843/3000270874525916,I1,O0,NW,false,pair:I1:O0:NW
1286,22305444433876029169/17150305787822398,21107757844943958003/34300611575644796,I2,O0,E,false,pair:I2:O0:E
1288,74863745231898688215/57705753128807474,71319657896803241573/115411506257614948,I0,I2,NE,false,pair:I0:I2:NE
1289,17744449593905415247/13793475563405378,17282236580953584077/27586951126810756,I2,O0,NE,false,pair:I2:O0:NE
1292,25056536557030573059/19309405950028634,23997466755433704297/38618811900057268,I1,O0,NW,false,pair:I1:O0:NW
1293,2879784716621025847/2203744116328818,2712073690218553477/4407488232657636,I2,O0,NE,false,pair:I2:O0:NE
1300,17778126894581812201/13597787218370126,16999758248003657179/27195574436740252,I2,I3,W,false,pair:I2:I3:W
1301,267276783274609539/203297581321306,6831238858146505619/10978069391350524,I0,O0,NW,false,pair:I0:O0:NW
1309,21360716529032087833/16224112734288366,6836744175117618809/10816075156192244,I1,I2,E,false,pair:I1:I2:E
1310,5412798522943288437/4128568504871606,5258051890297955583/8257137009743212,I0,I2,W,false,pair:I0:I2:W
1315,15407326631280216491/11596130480061706,14611766572578290017/23192260960123412,I3,O0,NE,false,pair:I3:O0:NE
1317,21513838916362684697/16224112734288366,1213901959701131195/1908719145210396,I0,I1,W,false,pair:I0:I1:W
1318,15736260345517188485/11829661597448854,14992175736118782511/23659323194897708,I1,O0,NW,false,pair:I1:O0:NW
1325,24422038882280787859/18299102422242874,23284074319853309977/36598204844485748,I0,I1,W,false,pair:I0:I1:W
1327,18330448286951132963/13738821370288410,10528385988781561567/16486585644346092,I1,O0,NW,false,pair:I1:O0:NW
1329,2188407326244105723/1635797886129770,2086909642673650769/3271595772259540,I3,O0,NE,false,pair:I3:O0:NE
1332,72173064873957871709/53889553055782886,68951439120374119863/107779106111565772,I1,I2,S,false,pair:I1:I2:S
1335,39646125334109447897/29446228368455278,37684092011754781867/58892456736910556,I1,I2,SW,false,pair:I1:I2:SW
1336,179854105825640217893/133539584294133590,171349637469164029199/267079168588267180,I1,O0,E,false,pair:I1:O0:E
1337,100561855157421322099/74647127557223034,31993817815218155155/49764751704815356,I1,I2,SW,false,pair:I1:I2:SW
1343,374795625647613341805/277346857839716806,359378884121938227175/554693715679433612,I2,I3,E,false,pair:I2:I3:E
1347,261740429879224519383/192432041031044146,249023664501887286885/384864082062088292,I1,O0,E,false,pair:I1:O0:E
1352,370714694817714457199/272616018337929218,356006114818113021997/545232036675858436,I0,I2,NW,false,pair:I0:I2:NW
1353,249979683600375107705/183288727621695278,238323916514809384331/366577455243390556,I1,I3,N,false,pair:I1:I3:N
1355,722969170617781700219/529444586904317290,137748694907264448605/211777834761726916,I2,I3,S,false,pair:I2:I3:S
1357,1010299345248245033645/736985782015327558,958782174863152096935/1473971564030655116,I2,O0,SE,false,pair:I2:O0:SE
1359,268761146931418922749/196497051795173030,770554796611741464773/1178982310771038180,I1,I3,NW,false,pair:I1:I3:NW
1361,312506777146166051785/228660082094230158,99843580524966185769/152440054729486772,I2,I3,SW,false,pair:I2:I3:SW
