class_id	depth	width	labels_flat
117	2	4	0000000001235400
118	2	4	0000000001240305
119	2	4	0000000001240350
120	2	4	0000000001240503
121	2	4	0000000001240530
122	2	4	0000000001243005
123	2	4	0000000001243050
124	2	4	0000000001243500
125	2	4	0000000001245003
126	2	4	0000000001245030
127	2	4	0000000001245300
128	2	4	0000000001250304
129	2	4	0000000001250340
130	2	4	0000000001250403
131	2	4	0000000001250430
132	2	4	0000000001253004
133	2	4	0000000001253040
134	2	4	0000000001253400
135	2	4	0000000001254003
136	2	4	0000000001254030
137	2	4	0000000001254300
138	2	4	0000000001300245
139	2	4	0000000001300254
140	2	4	0000000001300425
141	2	4	0000000001300452
142	2	4	0000000001300524
143	2	4	0000000001300542
144	2	4	0000000001302045
145	2	4	0000000001302054
146	2	4	0000000001302405
147	2	4	0000000001302504
148	2	4	0000000001304025
149	2	4	0000000001305024
150	2	4	0000000001320405
151	2	4	0000000001320450
152	2	4	0000000001320504
153	2	4	0000000001320540
154	2	4	0000000001324005
155	2	4	0000000001324050
156	2	4	0000000001324500
157	2	4	0000000001325004
158	2	4	0000000001325040
159	2	4	0000000001325400
160	2	4	0000000001340205
161	2	4	0000000001340250
162	2	4	0000000001340502
163	2	4	0000000001340520
164	2	4	0000000001342005
165	2	4	0000000001342050
166	2	4	0000000001342500
167	2	4	0000000001345002
168	2	4	0000000001345020
169	2	4	0000000001345200
170	2	4	0000000001350204
171	2	4	0000000001350240
172	2	4	0000000001350402
173	2	4	0000000001350420
174	2	4	0000000001352004
175	2	4	0000000001352040
176	2	4	0000000001352400
177	2	4	0000000001354002
178	2	4	0000000001354020
179	2	4	0000000001354200
180	2	4	0000000010020345
181	2	4	0000000010020354
182	2	4	0000000010020435
183	2	4	0000000010020453
184	2	4	0000000010020534
185	2	4	0000000010020543
186	2	4	0000000010023045
187	2	4	0000000010023054
188	2	4	0000000010023504
189	2	4	0000000010024053
190	2	4	0000000010024503
191	2	4	0000000010025043
192	2	4	0000000010030245
193	2	4	0000000010030254
194	2	4	0000000010030425
195	2	4	0000000010030452
196	2	4	0000000010030524
197	2	4	0000000010030542
198	2	4	0000000010032045
199	2	4	0000000010032054
200	2	4	0000000010032405
201	2	4	0000000010032504
202	2	4	0000000010034025
203	2	4	0000000010035024
204	2	4	0000000010230405
205	2	4	0000000010230450
206	2	4	0000000010230504
207	2	4	0000000010230540
208	2	4	0000000010234005
209	2	4	0000000010234050
210	2	4	0000000010234500
211	2	4	0000000010235004
212	2	4	0000000010235040
213	2	4	0000000010235400
214	2	4	0000000010240305
215	2	4	0000000010240350
216	2	4	0000000010240503
217	2	4	0000000010240530
218	2	4	0000000010243005
219	2	4	0000000010243050
220	2	4	0000000010243500
221	2	4	0000000010245003
222	2	4	0000000010245030
223	2	4	0000000010245300
224	2	4	0000000010250304
225	2	4	0000000010250340
226	2	4	0000000010250403
227	2	4	0000000010250430
228	2	4	0000000010253004
229	2	4	0000000010253040
230	2	4	0000000010253400
231	2	4	0000000010254003
232	2	4	0000000010254030
233	2	4	0000000010254300
234	2	4	0000000010320405
235	2	4	0000000010320450
236	2	4	0000000010320504
237	2	4	0000000010320540
238	2	4	0000000010324005
239	2	4	0000000010324050
240	2	4	0000000010324500
241	2	4	0000000010325004
242	2	4	0000000010325040
243	2	4	0000000010325400
244	2	4	0000000010340205
245	2	4	0000000010340250
246	2	4	0000000010340502
247	2	4	0000000010340520
248	2	4	0000000010342005
249	2	4	0000000010342050
250	2	4	0000000010342500
251	2	4	0000000010345002
252	2	4	0000000010345020
253	2	4	0000000010345200
254	2	4	0000000010350204
255	2	4	0000000010350240
256	2	4	0000000010350402
257	2	4	0000000010350420
258	2	4	0000000010352004
259	2	4	0000000010352040
260	2	4	0000000010352400
261	2	4	0000000010354002
262	2	4	0000000010354020
263	2	4	0000000010354200
264	2	4	0000000011231145
265	2	4	0000000011231154
266	2	4	0000000011241135
267	2	4	0000000011241153
268	2	4	0000000011251134
269	2	4	0000000011251143
270	2	4	0000000011321145
271	2	4	0000000011321154
272	2	4	0000000011341125
273	2	4	0000000011341152
274	2	4	0000000011351124
275	2	4	0000000011351142
276	2	4	0000000012340005
277	2	4	0000000012340050
278	2	4	0000000012350004
279	2	4	0000000012350040
280	2	4	0000000012350400
281	2	4	0000000012354000
282	2	4	0000000012430005
283	2	4	0000000012430050
284	2	4	0000000012430500
285	2	4	0000000012435000
286	2	4	0000000012450003
287	2	4	0000000012450030
288	2	4	0000000012530004
289	2	4	0000000012530040
290	2	4	0000000012530400
291	2	4	0000000012534000
292	2	4	0000000013240005
293	2	4	0000000013240050
294	2	4	0000000013250004
295	2	4	0000000013250040
296	2	4	0000000013250400
297	2	4	0000000013254000
298	2	4	0000000013520004
299	2	4	0000000013520040
300	2	4	0000001200334533
301	2	4	0000001200335433
302	2	4	0000001200443544
303	2	4	0000001200445344
304	2	4	0000001200553455
305	2	4	0000001200554355
306	2	4	0000001203004500
307	2	4	0000001203005400
308	2	4	0000001203440544
309	2	4	0000001203445044
310	2	4	0000001203550455
311	2	4	0000001203554055
312	2	4	0000001204003500
313	2	4	0000001204005300
314	2	4	0000001204335033
315	2	4	0000001204550355
316	2	4	0000001204553055
317	2	4	0000001205003400
318	2	4	0000001205004300
319	2	4	0000001205330433
320	2	4	0000001205334033
321	2	4	0000001205440344
322	2	4	0000001205443044
323	2	4	0000001230004500
324	2	4	0000001230005400
325	2	4	0000001230440544
326	2	4	0000001230445044
327	2	4	0000001230550455
