case,digit_index,digit,channel_map,source
N3_class_08,158,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,159,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,160,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,161,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,162,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,163,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,164,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,165,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,166,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,167,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,168,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,169,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,170,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,171,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,172,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,173,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,174,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,175,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,176,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,177,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,178,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,179,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,180,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,181,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,182,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,183,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,184,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,185,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,186,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,187,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,188,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,189,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,190,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,191,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,192,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,193,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,194,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,195,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,196,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,197,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,198,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,199,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,200,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,201,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,202,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,203,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,204,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,205,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,206,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,207,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,208,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,209,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,210,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,211,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,212,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,213,0,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,214,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,215,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,216,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,217,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,218,1,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,219,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
N3_class_08,220,2,P0/P1->1;P0/P2->2;P1/P2->0,class_08_continuation_to_cap128.json
