bit_index,row_id,keep_mask,output
618,9,42,H.2
619,9,43,H.2
620,9,44,H.0
621,9,45,H.2
622,9,46,H.2
623,9,47,H.2
624,9,48,H.0
625,9,49,H.5
626,9,50,H.4
627,9,51,H.4
628,9,52,H.0
629,9,53,H.3
630,9,54,H.3
631,9,55,H.3
632,9,56,H.0
633,9,57,H.5
634,9,58,H.4
635,9,59,H.4
636,9,60,H.0
637,9,61,H.5
638,9,62,H.0
639,9,63,H.0
641,10,1,H.5
643,10,3,H.4
644,10,4,H.3
645,10,5,H.3
646,10,6,H.3
647,10,7,H.3
648,10,8,H.2
649,10,9,H.2
650,10,10,H.2
651,10,11,H.2
652,10,12,H.2
653,10,13,H.2
654,10,14,H.2
655,10,15,H.2
657,10,17,H.5
659,10,19,H.4
660,10,20,H.1
661,10,21,H.1
662,10,22,H.1
663,10,23,H.1
664,10,24,H.1
665,10,25,H.5
666,10,26,H.1
667,10,27,H.1
668,10,28,H.1
669,10,29,H.1
670,10,30,H.1
671,10,31,H.1
672,10,32,H.0
673,10,33,H.5
674,10,34,H.4
675,10,35,H.4
676,10,36,H.3
677,10,37,H.3
678,10,38,H.3
679,10,39,H.3
680,10,40,H.0
681,10,41,H.5
682,10,42,H.2
683,10,43,H.2
684,10,44,H.0
685,10,45,H.2
686,10,46,H.2
687,10,47,H.2
688,10,48,H.0
689,10,49,H.5
690,10,50,H.4
691,10,51,H.4
692,10,52,H.0
693,10,53,H.3
694,10,54,H.3
695,10,55,H.3
696,10,56,H.0
697,10,57,H.5
698,10,58,H.4
699,10,59,H.4
700,10,60,H.0
701,10,61,H.5
702,10,62,H.0
703,10,63,H.0
705,11,1,H.5
706,11,2,H.4
707,11,3,H.4
708,11,4,H.3
709,11,5,H.3
710,11,6,H.3
711,11,7,H.3
712,11,8,H.2
713,11,9,H.5
714,11,10,H.2
715,11,11,H.2
716,11,12,H.2
717,11,13,H.2
718,11,14,H.2
719,11,15,H.2
721,11,17,H.5
722,11,18,H.1
723,11,19,H.4
724,11,20,H.1
725,11,21,H.1
726,11,22,H.1
727,11,23,H.1
728,11,24,H.1
729,11,25,H.5
730,11,26,H.1
731,11,27,H.1
732,11,28,H.1
733,11,29,H.1
734,11,30,H.1
735,11,31,H.1
737,11,33,H.5
738,11,34,H.4
739,11,35,H.4
740,11,36,H.0
741,11,37,H.3
742,11,38,H.3
743,11,39,H.3
744,11,40,H.0
745,11,41,H.5
746,11,42,H.0
747,11,43,H.4
748,11,44,H.0
749,11,45,H.5
750,11,46,H.0
751,11,47,H.2
752,11,48,H.0
753,11,49,H.5
754,11,50,H.4
755,11,51,H.4
756,11,52,H.0
757,11,53,H.5
758,11,54,H.0
759,11,55,H.3
760,11,56,H.0
761,11,57,H.5
762,11,58,H.0
763,11,59,H.4
764,11,60,H.0
765,11,61,H.5
766,11,62,H.0
767,11,63,H.0
769,12,1,H.5
770,12,2,H.4
771,12,3,H.4
772,12,4,H.3
773,12,5,H.3
774,12,6,H.3
775,12,7,H.3
776,12,8,H.2
777,12,9,H.5
778,12,10,H.2
779,12,11,H.2
780,12,12,H.2
781,12,13,H.2
782,12,14,H.2
783,12,15,H.2
785,12,17,H.5
786,12,18,H.4
787,12,19,H.4
788,12,20,H.1
789,12,21,H.1
790,12,22,H.1
791,12,23,H.1
792,12,24,H.1
793,12,25,H.5
794,12,26,H.1
795,12,27,H.1
796,12,28,H.1
797,12,29,H.1
798,12,30,H.1
799,12,31,H.1
801,12,33,H.5
802,12,34,H.4
803,12,35,H.4
804,12,36,H.0
805,12,37,H.3
806,12,38,H.3
807,12,39,H.3
808,12,40,H.0
809,12,41,H.5
810,12,42,H.4
811,12,43,H.4
812,12,44,H.0
813,12,45,H.5
814,12,46,H.0
815,12,47,H.2
816,12,48,H.0
817,12,49,H.5
818,12,50,H.4
819,12,51,H.4
820,12,52,H.0
821,12,53,H.5
822,12,54,H.3
823,12,55,H.3
824,12,56,H.0
825,12,57,H.5
826,12,58,H.4
827,12,59,H.4
828,12,60,H.0
829,12,61,H.5
830,12,62,H.0
831,12,63,H.0
833,13,1,H.5
834,13,2,H.4
835,13,3,H.4
836,13,4,H.3
837,13,5,H.3
838,13,6,H.3
839,13,7,H.3
840,13,8,H.2
841,13,9,H.2
842,13,10,H.2
843,13,11,H.2
844,13,12,H.2
845,13,13,H.2
846,13,14,H.2
847,13,15,H.2
849,13,17,H.5
850,13,18,H.4
851,13,19,H.4
852,13,20,H.1
853,13,21,H.1
854,13,22,H.1
855,13,23,H.1
856,13,24,H.1
857,13,25,H.5
858,13,26,H.1
859,13,27,H.1
860,13,28,H.1
861,13,29,H.1
862,13,30,H.1
863,13,31,H.1
865,13,33,H.5
866,13,34,H.4
867,13,35,H.4
868,13,36,H.0
869,13,37,H.3
870,13,38,H.3
871,13,39,H.3
872,13,40,H.0
873,13,41,H.5
874,13,42,H.4
875,13,43,H.4
876,13,44,H.0
877,13,45,H.2
878,13,46,H.0
879,13,47,H.2
880,13,48,H.0
881,13,49,H.5
882,13,50,H.4
883,13,51,H.4
884,13,52,H.0
885,13,53,H.3
886,13,54,H.0
887,13,55,H.3
888,13,56,H.0
889,13,57,H.5
890,13,58,H.4
891,13,59,H.4
892,13,60,H.0
893,13,61,H.5
894,13,62,H.0
895,13,63,H.0
897,14,1,H.5
898,14,2,H.4
899,14,3,H.4
900,14,4,H.3
901,14,5,H.3
902,14,6,H.3
903,14,7,H.3
904,14,8,H.2
905,14,9,H.5
906,14,10,H.2
907,14,11,H.2
908,14,12,H.2
909,14,13,H.2
910,14,14,H.2
911,14,15,H.2
913,14,17,H.5
914,14,18,H.4
915,14,19,H.4
916,14,20,H.1
917,14,21,H.1
918,14,22,H.1
919,14,23,H.1
920,14,24,H.1
921,14,25,H.5
922,14,26,H.1
923,14,27,H.1
924,14,28,H.1
925,14,29,H.1
926,14,30,H.1
927,14,31,H.1
929,14,33,H.5
930,14,34,H.4
931,14,35,H.4
932,14,36,H.0
933,14,37,H.3
934,14,38,H.3
935,14,39,H.3
936,14,40,H.0
937,14,41,H.5
938,14,42,H.4
939,14,43,H.4
940,14,44,H.0
941,14,45,H.5
942,14,46,H.0
943,14,47,H.2
944,14,48,H.0
945,14,49,H.5
946,14,50,H.4
947,14,51,H.4
948,14,52,H.0
949,14,53,H.3
950,14,54,H.3
951,14,55,H.3
952,14,56,H.0
953,14,57,H.5
954,14,58,H.4
955,14,59,H.4
956,14,60,H.0
957,14,61,H.5
958,14,62,H.0
959,14,63,H.0
961,15,1,H.5
963,15,3,H.4
965,15,5,H.3
966,15,6,H.3
967,15,7,H.3
969,15,9,H.2
971,15,11,H.2
972,15,12,H.2
973,15,13,H.2
974,15,14,H.2
975,15,15,H.2
977,15,17,H.5
978,15,18,H.1
979,15,19,H.4
981,15,21,H.1
982,15,22,H.1
983,15,23,H.1
984,15,24,H.1
985,15,25,H.5
986,15,26,H.1
987,15,27,H.1
988,15,28,H.1
989,15,29,H.1
990,15,30,H.1
991,15,31,H.1
993,15,33,H.5
994,15,34,H.4
995,15,35,H.4
996,15,36,H.0
997,15,37,H.3
998,15,38,H.3
999,15,39,H.3
1000,15,40,H.0
1001,15,41,H.5
1002,15,42,H.4
1003,15,43,H.4
1004,15,44,H.0
1005,15,45,H.5
1006,15,46,H.2
1007,15,47,H.2
1008,15,48,H.0
1009,15,49,H.5
1010,15,50,H.4
1011,15,51,H.4
1012,15,52,H.0
1013,15,53,H.3
1014,15,54,H.3
1015,15,55,H.3
1016,15,56,H.0
1017,15,57,H.5
1018,15,58,H.4
1019,15,59,H.4
1020,15,60,H.0
1021,15,61,H.5
1022,15,62,H.0
1023,15,63,H.0
1025,16,1,H.5
1027,16,3,H.4
1028,16,4,H.3
1029,16,5,H.3
1030,16,6,H.3
1031,16,7,H.3
1032,16,8,H.2
1033,16,9,H.2
